"MotherID","MotherID_unique","BirthSeason","Total_Offspring_Count","TotalSons","SonID","DSB_Score","SSB_Score","TotalMounts","Scan_Count","adjusted_DSB","adjusted_SSB","adjusted_TM"
"ID_3351","ID_3351a",2006,6,5,"ID_3058",0,1,1,5,0,1.430676558,1.430676558
"ID_3368","ID_3368a",2011,6,2,"ID_5641",0,15,15,0,0,0,0
"ID_3445","ID_3445a",1997,6,4,"ID_7758",55,4,59,92,28.00709895,2.036879924,30.04397888
"ID_3445","ID_3445b",1997,6,4,"ID_9596",39,8,47,201,16.93299182,3.473434219,20.40642604
"ID_3453","ID_3453a",2012,4,2,"ID_5577",0,1,1,0,0,0,0
"ID_3485","ID_3485a",2010,5,3,"ID_9201",0,0,0,0,0,0,0
"ID_3540","ID_3540a",2009,7,4,"ID_1405",0,11,11,54,0,6.349595718,6.349595718
"ID_3543","ID_3543a",2010,2,1,"ID_4250",9,0,9,35,5.82875867,0,5.82875867
"ID_3551","ID_3551a",1998,13,7,"ID_1359",1,7,8,102,0.497859163,3.48501414,3.982873303
"ID_3608","ID_3608a",2006,7,4,"ID_3419",0,0,0,0,0,0,0
"ID_3608","ID_3608b",2006,7,4,"ID_4974",0,1,1,0,0,0,0
"ID_3653","ID_3653a",2015,2,2,"ID_5040",0,0,0,0,0,0,0
"ID_3692","ID_3692a",2016,2,2,"ID_8826",2,2,4,0,0,0,0
"ID_3707","ID_3707a",1995,7,3,"ID_9379",6,4,10,323,2.391197979,1.594131986,3.985329965
"ID_3749","ID_3749a",2004,12,5,"ID_4427",0,8,8,19,0,6.256091865,6.256091865
"ID_3749","ID_3749b",2004,12,5,"ID_9505",3,9,12,42,1.848144963,5.544434889,7.392579853
"ID_3766","ID_3766a",2004,5,3,"ID_1414",0,0,0,0,0,0,0
"ID_3812","ID_3812a",2006,10,7,"ID_1749",0,0,0,1,NA,NA,0
"ID_3812","ID_3812b",2006,10,7,"ID_9593",19,4,23,481,7.083882288,1.49134364,8.575225927
"ID_3817","ID_3817a",2005,10,6,"ID_4481",0,0,0,0,0,0,0
"ID_3817","ID_3817b",2005,10,6,"ID_4771",0,2,2,34,0,1.305927217,1.305927217
"ID_3817","ID_3817c",2005,10,6,"ID_5507",0,1,1,4,0,1.660964047,1.660964047
"ID_3817","ID_3817d",2005,10,6,"ID_9049",40,3,43,186,17.62492701,1.321869526,18.94679654
"ID_3817","ID_3817e",2005,10,6,"ID_9839",0,1,1,0,0,0,0
"ID_3820","ID_3820a",1992,7,4,"ID_1241",0,1,1,0,0,0,0
"ID_3952","ID_3952a",1998,10,3,"ID_1117",0,1,1,32,0,0.664385619,0.664385619
"ID_3982","ID_3982a",2006,7,6,"ID_2114",4,0,4,54,2.308943898,0,2.308943898
"ID_3982","ID_3982b",2006,7,6,"ID_3332",1,0,1,2,3.321928095,0,3.321928095
"ID_3982","ID_3982c",2006,7,6,"ID_3974",3,5,8,64,1.660964047,2.768273412,4.42923746
"ID_3982","ID_3982d",2006,7,6,"ID_8753",0,3,3,4,0,4.982892142,4.982892142
"ID_4030","ID_4030a",1997,5,2,"ID_7619",0,6,6,134,0,2.820735492,2.820735492
"ID_4035","ID_4035a",1995,14,10,"ID_2985",9,6,15,158,4.093407768,2.728938512,6.822346281
"ID_4070","ID_4070a",2011,6,5,"ID_8751",0,0,0,0,0,0,0
"ID_4108","ID_4108a",2017,1,1,"ID_3065",0,0,0,0,0,0,0
"ID_4139","ID_4139a",1990,11,7,"ID_2416",1,6,7,153,0.457730545,2.746383272,3.204113817
"ID_4155","ID_4155a",1991,14,10,"ID_6720",2,10,12,161,0.906279024,4.531395118,5.437674141
"ID_4158","ID_4158a",2014,4,3,"ID_3724",0,5,5,35,0,3.238199261,3.238199261
"ID_4168","ID_4168a",2007,6,3,"ID_1083",1,3,4,47,0.598051122,1.794153366,2.392204488
"ID_4168","ID_4168b",2007,6,3,"ID_9371",0,1,1,0,0,0,0
"ID_4173","ID_4173a",2000,6,4,"ID_3454",7,3,10,114,3.403171515,1.458502078,4.861673593
"ID_4173","ID_4173b",2000,6,4,"ID_5461",4,7,11,162,1.810352034,3.168116059,4.978468093
"ID_4184","ID_4184a",2007,9,6,"ID_1719",1,16,17,9,1.047951637,16.76722619,17.81517783
"ID_4184","ID_4184b",2007,9,6,"ID_2847",0,3,3,26,0,2.120181277,2.120181277
"ID_4184","ID_4184c",2007,9,6,"ID_5592",0,1,1,0,0,0,0
"ID_4187","ID_4187a",2010,8,2,"ID_1064",2,0,2,7,2.366589325,0,2.366589325
"ID_4195","ID_4195a",2000,9,8,"ID_1958",0,0,0,0,0,0,0
"ID_4215","ID_4215a",2008,8,6,"ID_2360",4,5,9,106,1.975010327,2.468762909,4.443773237
"ID_4215","ID_4215b",2008,8,6,"ID_8645",0,11,11,123,0,5.263396859,5.263396859
"ID_4251","ID_4251a",2008,5,3,"ID_4731",0,1,1,0,0,0,0
"ID_4269","ID_4269a",2006,12,6,"ID_2713",2,1,3,3,4.191806549,2.095903274,6.287709823
"ID_4269","ID_4269b",2006,12,6,"ID_2788",1,1,2,3,2.095903274,2.095903274,4.191806549
"ID_4269","ID_4269c",2006,12,6,"ID_7625",4,31,35,222,1.704773341,13.21199339,14.91676674
"ID_4269","ID_4269d",2006,12,6,"ID_8104",0,0,0,0,0,0,0
"ID_4278","ID_4278a",2004,8,4,"ID_7160",1,4,5,203,0.433370192,1.733480766,2.166850958
"ID_4336","ID_4336a",1997,11,9,"ID_2368",19,3,22,172,8.499109026,1.341964583,9.841073609
"ID_4336","ID_4336b",1997,11,9,"ID_2626",0,0,0,3,0,0,0
"ID_4336","ID_4336c",1997,11,9,"ID_6458",0,3,3,5,0,4.292029674,4.292029674
"ID_4336","ID_4336d",1997,11,9,"ID_7302",0,5,5,6,0,6.425486045,6.425486045
"ID_4358","ID_4358a",1991,11,8,"ID_5055",0,1,1,0,0,0,0
"ID_4408","ID_4408a",1993,9,4,"ID_2607",21,8,29,54,12.12195546,4.617887795,16.73984326
"ID_4489","ID_4489a",2007,8,2,"ID_6211",19,2,21,218,8.125017528,0.855265003,8.980282531
"ID_4529","ID_4529a",1997,5,5,"ID_5350",0,0,0,77,0,0,0
"ID_4529","ID_4529b",1997,5,5,"ID_6782",0,2,2,56,0,1.144041699,1.144041699
"ID_4545","ID_4545a",2009,6,5,"ID_4154",0,8,8,0,0,0,0
"ID_4545","ID_4545b",2009,6,5,"ID_6017",1,5,6,39,0.62850999,3.142549949,3.771059939
"ID_4564","ID_4564a",2010,7,3,"ID_1937",1,0,1,0,0,0,0
"ID_4564","ID_4564b",2010,7,3,"ID_4665",0,2,2,0,0,0,0
"ID_4577","ID_4577a",2013,3,1,"ID_7933",0,2,2,0,0,0,0
"ID_4613","ID_4613a",2000,6,4,"ID_8127",0,0,0,8,0,0,0
"ID_4630","ID_4630a",2004,6,3,"ID_5296",0,1,1,0,0,0,0
"ID_4657","ID_4657a",1989,7,4,"ID_7460",0,2,2,52,0,1.165498895,1.165498895
