AnimalID,Sex,BirthSeason,offspring_count
ID_8682,F,2010,8
ID_8126,M,2010,1
ID_2607,M,2010,2
ID_1529,M,2010,9
ID_6162,M,2010,0
ID_6141,F,2010,6
ID_6966,F,2010,6
ID_9448,M,2010,5
ID_9049,M,2010,0
ID_2371,M,2010,33
ID_2456,M,2010,8
ID_6674,F,2010,7
ID_5245,M,2010,3
ID_3543,F,2010,2
ID_7671,F,2010,1
ID_5744,M,2010,1
ID_2457,M,2010,4
ID_3528,M,2010,9
ID_2419,M,2010,18
ID_8413,M,2010,1
ID_5777,F,2010,6
ID_5838,F,2010,5
ID_9505,M,2010,4
ID_2437,M,2010,13
ID_3485,F,2010,5
ID_2039,M,2010,7
ID_9813,M,2011,3
ID_3583,M,2011,9
ID_4070,F,2011,6
ID_9344,M,2011,0
ID_2368,M,2011,20
ID_6172,M,2011,3
ID_5131,M,2011,1
ID_5287,M,2011,4
ID_2953,F,2011,5
ID_3152,M,2011,8
ID_3368,F,2011,6
ID_1416,M,2011,8
ID_5059,F,2011,3
ID_7487,M,2011,6
ID_3194,M,2011,11
ID_5461,M,2011,9
ID_1215,M,2011,13
ID_6874,F,2011,2
ID_2478,M,2011,3
ID_4881,M,2011,0
ID_2238,M,2011,3
ID_1453,F,2011,3
ID_8699,F,2011,6
ID_7222,M,2011,9
ID_6320,M,2011,9
ID_5276,F,2011,6
ID_1854,M,2011,0
ID_2399,M,2011,1
ID_5938,F,2011,1
ID_3948,M,2011,8
ID_1794,M,2011,7
ID_7416,F,2011,1
ID_4817,M,2011,0
ID_2019,F,2011,9
ID_2013,M,2011,9
ID_1825,F,2011,3
ID_1296,M,2011,2
ID_3228,M,2011,5
ID_2498,F,2011,6
ID_1979,M,2011,1
ID_4768,M,2011,3
ID_8925,M,2011,0
ID_5165,M,2011,1
ID_6403,F,2011,4
ID_7340,F,2011,7
ID_2035,M,2011,9
ID_1977,F,2011,8
ID_7004,M,2011,0
ID_6272,F,2011,5
ID_9437,M,2011,2
ID_5055,M,2011,0
ID_2843,M,2011,10
ID_4427,M,2012,3
ID_5891,F,2012,3
ID_2292,F,2012,7
ID_6637,M,2012,1
ID_8859,F,2012,5
ID_7475,F,2012,4
ID_4162,M,2012,2
ID_8218,M,2012,14
ID_7625,M,2012,2
ID_9245,M,2012,3
ID_9737,M,2012,0
ID_4177,M,2012,0
ID_4974,M,2012,2
ID_6211,M,2012,3
ID_8414,M,2012,0
ID_7281,F,2012,5
ID_5827,F,2012,3
ID_3265,F,2012,2
ID_6472,F,2012,0
ID_6883,F,2012,5
ID_4022,M,2012,1
ID_5720,F,2012,5
ID_3174,M,2012,2
ID_5248,F,2012,5
ID_1109,F,2012,3
ID_1018,M,2012,1
ID_1462,F,2012,6
ID_3453,F,2012,4
ID_4771,M,2012,2
ID_4935,F,2012,7
ID_3227,M,2012,3
ID_5731,M,2012,0
ID_3976,M,2012,0
ID_4025,M,2012,3
ID_9593,M,2012,6
ID_7411,F,2012,3
ID_4334,M,2012,1
ID_8871,M,2012,10
ID_9979,M,2012,4
ID_4689,M,2012,1
ID_8645,M,2012,1
ID_4692,M,2012,38
ID_2132,M,2012,1
ID_1486,M,2012,0
ID_6523,F,2012,4
ID_7160,M,2012,16
ID_3131,F,2013,3
ID_5578,M,2013,1
ID_2677,M,2013,0
ID_7771,M,2013,1
ID_6693,M,2013,0
ID_8753,M,2013,0
ID_1593,M,2013,6
ID_7302,M,2013,0
ID_4748,M,2013,1
ID_8786,M,2013,9
ID_8091,M,2013,4
ID_5103,M,2013,2
ID_5507,M,2013,4
ID_5774,M,2013,0
ID_9661,M,2013,8
ID_1311,M,2013,1
ID_8101,M,2013,0
ID_1117,M,2013,1
