Date_ymd,Time_Absolute_hms,Time_Relative_hms,Time_Relative_s,Time_Lag_s,Duration_s,Observation_Name,Log_File_Name,Actor,Behavior,Receiver,Event_Type,Observer_ID,Coding_Scheme,Group
17/02/2025,08:04:24,00:26:42,1602.323,0,0,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Stationary alone""",NA,State stop,1590,Female Rhesus Macaques,V
17/02/2025,08:04:24,00:26:42,1602.323,0.632,3.379,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Resting""",NA,State start,1590,Female Rhesus Macaques,V
17/02/2025,08:04:27,00:26:45,1605.701,0,0,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Resting""",NA,State stop,1590,Female Rhesus Macaques,V
17/02/2025,08:04:27,00:26:45,1605.701,0.749,5.559,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Soft grunt""",NA,State start,1590,Female Rhesus Macaques,V
17/02/2025,08:04:33,00:26:51,1611.261,0,0,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Soft grunt""",NA,State stop,1590,Female Rhesus Macaques,V
17/02/2025,08:04:33,00:26:51,1611.261,0.599,5.043,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Resting""",NA,State start,1590,Female Rhesus Macaques,V
17/02/2025,08:04:38,00:26:56,1616.304,0,0,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Resting""",NA,State stop,1590,Female Rhesus Macaques,V
17/02/2025,08:04:38,00:26:56,1616.304,2.13,44.673,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Self groom""",ID_3368,State start,1590,Female Rhesus Macaques,V
17/02/2025,08:05:22,00:27:40,1660.977,0,0,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Self groom""",ID_3368,State stop,1590,Female Rhesus Macaques,V
17/02/2025,08:05:22,00:27:40,1660.977,0.566,24.501,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Resting""",NA,State start,1590,Female Rhesus Macaques,V
