"individual_id","image_file","red_ratio","red_dominance","red_minus_green","red_ratio_residual","red_dominance_residual","overall_brightness","contrast","overexposed_pct","raw_red","raw_green","raw_blue","photo_date"
"ID_3817","ID_3817.png",0.430454615741457,1.53787721842414,0.194142572283151,0.0108692175966092,0.106578259899286,0.429843801927551,0.148609017530672,0,0.555084745762712,0.360942173479561,0.373504486540379,"10/02/2025"
"ID_9224","ID_9224.png",0.391329640402394,1.30550439436829,0.106507218271924,-0.026604897661809,-0.134415227903393,0.387682252388135,0.0929922363732449,0,0.455134669252316,0.348627450980392,0.359284636931696,"11/02/2025"
"ID_2395","ID_2395.png",0.426311900109222,1.47623800646831,0.15617919835692,0.00300155300014592,0.0325670183899904,0.378535669586984,0.146084413315888,0,0.484122781682231,0.32794358332531,0.32354064375341,"11/02/2025"
"ID_4953","ID_4953.png",0.390454902706277,1.27156196474943,0.160379379822104,-0.0195132680909651,-0.110673205118066,0.64109882549511,0.224000734514128,0.267368421052632,0.750960538601406,0.590581158779302,0.581754779104624,"03/02/2025"
"ID_8325","ID_8325.png",0.435846386336923,1.48330256332969,0.182258217296581,0.0160987039506633,0.0515067054623625,0.427802248113416,0.148668428426878,0,0.559368191721133,0.377109974424552,0.346928578194563,"31/01/2025"
"ID_5357","ID_5357.png",0.416540777859321,1.4488077732201,0.193585646609673,-0.00558800172377048,0.0319389854412533,0.500086087161481,0.238915880866841,0.227983284321312,0.624918743228603,0.43133309661893,0.444006421636911,"04/02/2025"
"ID_2953","ID_2953.png",0.39469313470124,1.29730789751708,0.103910762856552,-0.0322402226865006,-0.146597364299244,0.382927293627786,0.191093624214728,0.000314911037631869,0.453416321653839,0.349505558797287,0.345860000432231,"03/02/2025"
"ID_2251","ID_2251.png",0.410849767609231,1.3006535079916,0.112891920053045,-0.0189422221627325,-0.141297454541164,0.396235972141209,0.23521202715271,0.098652428171879,0.4883803712179,0.375488451164855,0.324839094040871,"03/02/2025"
"ID_8699","ID_8699.png",0.428118956970149,1.49155828419097,0.184126119583636,0.00797264132610861,0.0611970396601296,0.435005648349875,0.159495443197427,0,0.558702493343016,0.37457637375938,0.371738077947228,"31/01/2025"
"ID_3453","ID_3453.png",0.452465922788386,1.46912102947158,0.128794514595731,0.0254355367082197,0.0065414593485632,0.297141225065498,0.117202847169709,0,0.403338835793197,0.274544321197465,0.213540518205833,"31/01/2025"
"ID_1258","ID_1258.png",0.403865602587553,1.33125824400317,0.19208308227479,-0.00245112318154976,-0.0506419038892185,0.637127881138752,0.179036159368864,0.119573548881611,0.771942106924298,0.579859024649508,0.559582511842449,"22/01/2025"
"ID_7340","ID_7340.png",0.390595230701732,1.27060862991469,0.11487498703185,-0.0299630434572108,-0.154389474371298,0.460306855252389,0.186294809596197,0.00105820105820106,0.539380986962686,0.424505999930836,0.417033578863644,"03/02/2025"
"ID_7533","ID_7533.png",0.400229823036262,1.3431767727916,0.125568725612898,-0.0175633902835444,-0.0919936717017619,0.409322928170016,0.110304364347631,0,0.491469729318511,0.365901003705613,0.370598051485926,"11/02/2025"
"ID_3273","ID_3273.png",0.483880712599194,1.64665708966219,0.255630015719368,0.0638083724897611,0.219234434552442,0.448416315049226,0.170378298789848,0.000675105485232067,0.650940018201373,0.395310002482006,0.298998924464301,"04/02/2025"
"ID_9490","ID_9490.png",0.404480626748008,1.41391829348823,0.211583508077184,-0.00246686434090567,0.0227919495443121,0.59562446267788,0.149921971534299,0.00770090671966215,0.722755667911184,0.511172159834,0.552945560288455,"22/01/2025"
"ID_3551","ID_3551.png",0.419515068120781,1.49359120075803,0.233788883440293,0.00932483462396132,0.0941172899497552,0.562107493716346,0.157470676121989,0.000724900326205147,0.707437690552843,0.473648807112551,0.505235983483643,"29/01/2025"
"ID_8788","ID_8788.png",0.432300477425661,1.61710318157849,0.0849842653110628,-0.000104404990969867,0.125503814925557,0.171716291454854,0.0686306817165389,0,0.222699104333091,0.137714839022028,0.154734931009441,"30/01/2025"
"ID_9976","ID_9976.png",0.409198553162115,1.37690908236495,0.156594985077957,-0.00891560024563571,-0.0460487356462758,0.466005634117089,0.163502849611396,0,0.57206649373832,0.415471508660363,0.410478899952584,"11/02/2025"
