ID,DSB_Score,SSB_Score,Scan_Count,adjusted_DSB,adjusted_SSB,OffspringCount,BirthSeason,DS,normDS
ID_4165,1,1,18,0.79663977,0.79663977,1,2014,-4.083333333,166.4877745
ID_6789,0,2,18,0,1.59327954,2,2015,-20.44166667,166.4387974
ID_4427,0,8,19,0,6.256091865,3,2012,NA,NA
ID_1292,0,3,19,0,2.346034449,0,2010,NA,NA
ID_4681,0,9,19,0,7.038103348,0,2020,-2.643452381,166.4920855
ID_4138,0,3,20,0,2.305865361,1,2015,-13.28333333,166.4602295
ID_4569,0,0,20,0,0,0,2016,-47.23095238,166.35859
ID_7487,2,1,21,1.512608391,0.756304196,6,2011,NA,NA
ID_2808,1,0,21,0.756304196,0,3,2003,-30.28333333,166.4093313
ID_3033,2,5,21,1.512608391,3.781520978,0,2020,-56.17321429,166.3318167
ID_6172,2,1,23,1.468722271,0.734361136,3,2011,NA,NA
ID_5103,168,0,23,123.3726708,0,2,2013,NA,NA
ID_7346,2,1,23,1.468722271,0.734361136,0,2018,13.66666667,166.5409182
ID_8925,12,1,24,8.694321302,0.724526775,0,2011,NA,NA
ID_8059,2,3,24,1.44905355,2.173580325,0,2016,4.75,166.5142216
ID_6052,0,4,24,0,2.898107101,0,2018,-12.62142857,166.4622113
ID_4222,0,0,24,0,0,0,2018,-40.6375,166.3783308
ID_1416,63,1,26,44.52380682,0.706727092,8,2011,NA,NA
ID_2847,0,3,26,0,2.120181277,0,2014,-8.15,166.4755988
ID_1443,0,2,26,0,1.413454185,2,2015,-12.88809524,166.4614129
ID_7577,5,2,27,3.493172124,1.39726885,0,2018,0.054166667,166.5001622
ID_6239,5,6,27,3.493172124,4.191806549,0,2015,-20.06666667,166.4399202
ID_6363,0,1,27,0,0.698634425,0,2015,-24.75,166.4258982
ID_2554,1,0,27,0.698634425,0,0,2016,-25.4,166.4239521
ID_7004,57,1,28,39.38754356,0.691009536,0,2011,NA,NA
ID_1746,0,0,29,0,0,7,2014,5.791666667,166.5173403
ID_2481,0,0,29,0,0,4,2004,-46.94642857,166.3594418
ID_2013,0,2,30,0,1.353984985,9,2011,NA,NA
ID_4179,0,0,31,0,0,10,2000,-21.10416667,166.4368139
ID_6196,0,1,31,0,0.670528152,0,2019,-48.59404762,166.3545088
ID_1308,0,0,31,0,0,0,2018,-97.26964286,166.2087735
ID_6414,0,1,32,0,0.664385619,0,2015,-19.54821429,166.4414724
ID_1117,0,1,32,0,0.664385619,1,2013,-124.4119048,166.1275093
ID_4771,0,2,34,0,1.305927217,2,2012,NA,NA
ID_8809,1,5,34,0.652963608,3.264818042,0,2019,-91.475,166.2261228
ID_5660,1,4,35,0.647639852,2.590559409,25,2007,NA,NA
ID_4250,9,0,35,5.82875867,0,0,2017,-17.01666667,166.4490519
ID_3724,0,5,35,0,3.238199261,0,2019,-33.1827381,166.4006505
ID_7644,3,8,37,1.913019195,5.10138452,2,2014,-34.95416667,166.3953468
ID_1261,0,0,37,0,0,0,2018,-41.61666667,166.3753992
ID_7204,0,3,37,0,1.913019195,0,2017,-85.06369048,166.2453183
ID_7712,0,4,39,0,2.514039959,11,2008,106.1494048,166.8178126
ID_6017,1,5,39,0.62850999,3.142549949,0,2016,-11.875,166.4644461
ID_6663,2,1,39,1.25701998,0.62850999,0,2017,-35.70833333,166.3930888
ID_8506,0,70,41,0,43.40321222,0,2017,-14.7375,166.4558757
ID_3173,3,7,41,1.860137667,4.340321222,0,2016,-27.49166667,166.4176896
ID_3555,3,2,41,1.860137667,1.240091778,0,2018,-37.26666667,166.3884232
ID_9505,3,9,42,1.848144963,5.544434889,4,2010,NA,NA
ID_1695,0,15,42,0,9.240724816,0,2014,-51.1875,166.346744
ID_4572,0,21,43,0,12.8560793,7,2016,-29.33333333,166.4121756
ID_9437,14,6,43,8.570719534,3.673165514,2,2011,-45.21488095,166.3646261
ID_6752,0,2,45,0,1.209765825,0,2014,-78.8375,166.2639596
ID_2329,0,6,46,0,3.608462932,1,2014,-22.18571429,166.4335757
ID_4085,0,5,47,0,2.99025561,1,2015,7.3875,166.5221183
ID_1083,1,3,47,0.598051122,1.794153366,0,2018,-15.58333333,166.4533433
ID_7496,0,5,47,0,2.99025561,0,2015,-15.73333333,166.4528942
ID_8157,5,7,48,2.973993196,4.163590474,1,2016,-15.50595238,166.453575
ID_4334,1,12,49,0.591647331,7.099767975,1,2012,NA,NA
ID_8597,0,1,49,0,0.591647331,0,2007,NA,NA
